Sigma,Db,D,Nf,lmax
0,0.987091041,0.986833202,16876.14871,19216.55954
0.005020202,1.070820171,1.07044425,19084.56633,9976.480042
0.010040404,1.151243535,1.150705847,21384.71388,5794.25612
0.015060606,1.228486869,1.22773173,23777.79267,3668.058827
0.020080808,1.302675908,1.301633698,26264.41885,2484.545259
0.02510101,1.373936387,1.372521662,28844.53973,1776.395592
0.030121212,1.442394043,1.440503796,31517.37162,1327.090306
0.035141414,1.50817461,1.505689248,34281.93915,1027.905259
0.040161616,1.571403825,1.568226818,37146.76878,820.4817542
0.045181818,1.632207423,1.628472208,40175.9255,671.6899411
0.05020202,1.690711139,1.687184809,43557.04568,561.8045087
0.055222222,1.747040709,1.745377203,47593.23587,478.5886281
0.060242424,1.801321868,1.803834789,52599.02962,414.1804978
0.065262626,1.853680353,1.862767926,58791.71507,363.3610188
0.070282828,1.904241898,1.921822325,66247.23258,322.5847567
0.07530303,1.953132239,1.980325672,74896.1799,289.3633053
0.080323232,2.000477112,2.03753883,84554.72011,261.9274918
0.085343434,2.046402253,2.09282848,94957.11337,238.9864953
0.090363636,2.091033396,2.145731207,105796.9957,219.5905167
0.095383838,2.134496277,2.195952446,116766.1634,203.0352186
0.10040404,2.176916632,2.243407104,127550.2307,188.7384295
0.105424242,2.218420197,2.288029914,137924.518,176.3264361
0.110444444,2.259132706,2.329952288,147652.2376,165.4258538
0.115464646,2.299179897,2.369302425,156574.2449,155.7795517
0.120484848,2.338687503,2.406164547,164646.4847,147.2295209
0.125505051,2.377781261,2.440803498,171732.8827,139.5485997
0.130525253,2.416586906,2.473406483,177780.2336,132.5963658
0.135545455,2.455230173,2.504080343,182854.4478,126.302637
0.140565657,2.493836799,2.532939633,187057.0054,120.605141
0.145585859,2.532532519,2.560229436,190299.7846,115.3707651
0.150606061,2.571443068,2.586113367,192562.3534,110.5201594
0.155626263,2.610694182,2.610698658,193893.3185,106.0093064
0.160646465,2.650411596,2.634062318,194390.977,101.8127563
0.165666667,2.690721047,2.656246761,194236.6535,97.92725495
0.170686869,2.731748269,2.677281754,193667.8823,94.35950529
0.175707071,2.773618998,2.697328328,192532.8827,91.0254112
0.180727273,2.816458969,2.716490838,190731.794,87.86983922
0.185747475,2.860393919,2.734824962,188246.7306,84.86444832
0.190767677,2.905549583,2.752357797,185121.3867,81.99698968
0.195787879,2.952051696,2.76910094,181442.3263,79.26436317
0.200808081,3.000025993,2.785058805,177322.222,76.66812531
0.205828283,3.049598212,2.800233691,172885.4207,74.21161422
0.210848485,3.100894086,2.814628676,168256.1722,71.89815465
0.215868687,3.154039351,2.828247935,163557.8698,69.73133891
0.220888889,3.209159743,2.84104655,159341.0314,67.78455096
0.225909091,3.266380998,2.853072513,155520.3736,66.02645179
0.230929293,3.325828852,2.864386707,151736.2007,64.38657112
0.235949495,3.387629038,2.875014479,147787.383,62.82401355
0.240969697,3.451907294,2.884963204,143587.099,61.31750434
